fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
10,17,23,,5,40,75,,,,42894739,73502403
0,5,9,,75,162,250,,,,42894739,73502404
0,7,14,,2,4,5,,,,42894740,73502405
22,30,37,,5,40,75,,,,42894740,73502406
0,5,9,,75,162,250,,,,42894740,73502407
0,7,14,,2,4,5,,,,42894741,73502408
22,30,37,,5,40,75,,,,42894741,73502409
0,5,9,,75,162,250,,,,42894741,73502410
0,3,6,,2,4,5,,,,42894744,73502411
0,3,6,,5,40,75,,,,42894744,73502412
NA,NA,NA,,5,40,75,,,,42894745,73502413
0,6,11,,2,4,5,,,,42894746,73502414
0,5,9,,5,40,75,,,,42894746,73502415
0,7,14,,2,4,5,,,,42894747,73502416
10,17,23,,5,40,75,,,,42894747,73502417
0,3,6,,75,162,250,,,,42894747,73502418
0,7,14,,2,4,5,,,,42894748,73502419
10,17,23,,5,40,75,,,,42894748,73502420
0,3,6,,75,162,250,,,,42894748,73502421
0,6,11,,2,4,5,,,,42894749,73502422
0,5,9,,5,40,75,,,,42894749,73502423
0,7,14,,2,4,5,,,,42894750,73502424
10,17,23,,5,40,75,,,,42894750,73502425
0,3,6,,75,162,250,,,,42894750,73502426
0,7,14,,2,4,5,,,,42894751,73502427
10,17,23,,5,40,75,,,,42894751,73502428
0,3,6,,75,162,250,,,,42894751,73502429
0,6,11,,2,4,5,,,,42894752,73502430
0,5,9,,5,40,75,,,,42894752,73502431
0,7,14,,2,4,5,,,,42894753,73502432
10,17,23,,5,40,75,,,,42894753,73502433
0,3,6,,75,162,250,,,,42894753,73502434
0,7,14,,2,4,5,,,,42894754,73502435
10,17,23,,5,40,75,,,,42894754,73502436
0,3,6,,75,162,250,,,,42894754,73502437
NA,NA,NA,,5,40,75,,,,42894757,73502438
0,6,11,,2,4,5,,,,42894811,73502539
0,5,9,,5,40,75,,,,42894811,73502540
0,6,11,,2,4,5,,,,42894812,73502541
0,5,9,,5,40,75,,,,42894812,73502542
NA,NA,NA,,5,40,75,,,,42894813,73502543
NA,NA,NA,,5,40,75,,,,42894814,73502544
0,2,3,,2,4,5,,,,42894815,73502545
0,2,3,,5,40,75,,,,42894815,73502546
0,2,3,,2,4,5,,,,42894816,73502547
0,2,3,,5,40,75,,,,42894816,73502548
0,6,11,,2,4,5,,,,42894817,73502549
0,5,9,,5,40,75,,,,42894817,73502550
0,2,3,,2,4,5,,,,42894818,73502551
0,2,3,,5,40,75,,,,42894818,73502552
0,2,3,,2,4,5,,,,42894819,73502553
0,2,3,,5,40,75,,,,42894819,73502554
0,6,11,,2,4,5,,,,42894820,73502555
0,5,9,,5,40,75,,,,42894820,73502556
0,2,10,Arkose fragments,2,4,5,Nonflat,Angular,Indurated,42894821,73502557
0,0,5,Arkose fragments,2,4,5,Nonflat,Angular,Indurated,42894824,73502558
0,0,5,Arkose fragments,2,4,5,Nonflat,Angular,Indurated,42894825,73502559
0,0,5,Arkose fragments,2,4,5,Nonflat,Angular,Indurated,42894827,73502560
0,0,5,Arkose fragments,2,4,5,Nonflat,Angular,Indurated,42894828,73502561
0,2,10,Arkose fragments,2,4,5,Nonflat,Angular,Indurated,42894829,73502562
0,0,5,Arkose fragments,2,4,5,Nonflat,Angular,Indurated,42894831,73502563
0,2,10,Arkose fragments,2,4,5,Nonflat,Angular,Indurated,42894832,73502564
0,0,5,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,42894964,73502630
0,0,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894964,73502631
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894972,73502632
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894995,73502638
0,0,10,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42894996,73502639
0,0,5,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42894997,73502640
0,0,5,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42894998,73502641
0,0,15,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42894999,73502642
0,0,10,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42895000,73502643
0,0,10,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42895001,73502644
0,0,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42895005,73502645
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,42895005,73502646
0,0,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42895006,73502647
0,0,5,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,42895006,73502648
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42895010,73502649
0,0,5,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,42895010,73502650
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42895011,73502651
0,0,5,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,42895011,73502652
0,0,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42895039,73502653
0,0,5,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,42895039,73502654
0,5,8,Clayey shale fragments,2,10,150,Flat,Angular,Moderately cemented,42895040,73502655
0,5,10,Clayey shale fragments,2,20,150,Flat,Angular,Moderately cemented,42895041,73502656
0,10,15,Clayey shale fragments,5,20,150,Flat,Angular,Moderately cemented,42895042,73502657
0,3,6,,2,4,5,Flat,NA,Indurated,45496131,77833237
0,2,3,,5,40,75,Flat,NA,Indurated,45496131,77833238
0,2,3,,75,162,250,Flat,NA,Indurated,45496131,77833239
0,3,6,,2,4,5,Flat,NA,Indurated,45496132,77833240
0,2,3,,5,40,75,Flat,NA,Indurated,45496132,77833241
0,3,6,,75,162,250,Flat,NA,Indurated,45496132,77833242
0,3,6,,2,4,5,Flat,NA,Indurated,45496133,77833243
0,2,3,,5,40,75,Flat,NA,Indurated,45496133,77833244
0,2,3,,75,162,250,Flat,NA,Indurated,45496133,77833245
0,3,6,,2,4,5,Flat,NA,Indurated,45496134,77833246
0,2,3,,5,40,75,Flat,NA,Indurated,45496134,77833247
0,2,3,,75,162,250,Flat,NA,Indurated,45496134,77833248
0,3,6,,2,4,5,Flat,NA,Indurated,45496135,77833249
0,2,3,,5,40,75,Flat,NA,Indurated,45496135,77833250
0,2,3,,75,162,250,Flat,NA,Indurated,45496135,77833251
0,5,10,,2,4,5,Nonflat,NA,Indurated,45496137,77833252
3,8,12,,5,40,75,Nonflat,NA,Indurated,45496137,77833253
9,16,23,,75,162,250,Nonflat,NA,Indurated,45496137,77833254
0,2,3,,250,625,1000,Nonflat,NA,Indurated,45496137,77833255
0,12,23,,2,4,5,Nonflat,NA,Indurated,45496138,77833256
2,14,25,,5,40,75,Nonflat,NA,Indurated,45496138,77833257
11,23,34,,75,162,250,Nonflat,NA,Indurated,45496138,77833258
0,2,3,,250,625,1000,Nonflat,NA,Indurated,45496138,77833259
0,3,6,,2,4,5,Flat,NA,Indurated,45496139,77833260
0,2,3,,5,40,75,Flat,NA,Indurated,45496139,77833261
0,3,6,,75,162,250,Flat,NA,Indurated,45496139,77833262
0,3,6,,2,4,5,Flat,NA,Indurated,45496141,77833263
0,2,3,,5,40,75,Flat,NA,Indurated,45496141,77833264
0,2,3,,75,162,250,Flat,NA,Indurated,45496141,77833265
0,3,6,,2,4,5,Flat,NA,Indurated,45496142,77833266
0,2,3,,5,40,75,Flat,NA,Indurated,45496142,77833267
0,2,3,,75,162,250,Flat,NA,Indurated,45496142,77833268
0,3,6,,2,4,5,Flat,NA,Indurated,45496143,77833269
0,2,3,,5,40,75,Flat,NA,Indurated,45496143,77833270
0,2,3,,75,162,250,Flat,NA,Indurated,45496143,77833271
0,5,10,,2,4,5,Nonflat,NA,Indurated,45496179,77833366
3,8,12,,5,40,75,Nonflat,NA,Indurated,45496179,77833367
9,16,23,,75,162,250,Nonflat,NA,Indurated,45496179,77833368
0,1,2,,250,425,600,Nonflat,NA,Indurated,45496179,77833369
0,1,2,,600,800,1000,Nonflat,NA,Indurated,45496179,77833370
0,12,23,,2,4,5,Nonflat,NA,Indurated,45496180,77833371
2,14,25,,5,40,75,Nonflat,NA,Indurated,45496180,77833372
11,23,34,,75,162,250,Nonflat,NA,Indurated,45496180,77833373
0,1,2,,250,425,600,Nonflat,NA,Indurated,45496180,77833374
0,1,2,,600,800,1000,Nonflat,NA,Indurated,45496180,77833375
0,5,10,,2,4,5,Nonflat,NA,Indurated,45496182,77833376
3,8,12,,5,40,75,Nonflat,NA,Indurated,45496182,77833377
9,16,23,,75,162,250,Nonflat,NA,Indurated,45496182,77833378
0,2,3,,250,625,1000,Nonflat,NA,Indurated,45496182,77833379
0,12,23,,2,4,5,Nonflat,NA,Indurated,45496183,77833380
2,14,25,,5,40,75,Nonflat,NA,Indurated,45496183,77833381
11,23,34,,75,162,250,Nonflat,NA,Indurated,45496183,77833382
0,2,3,,250,625,1000,Nonflat,NA,Indurated,45496183,77833383
NA,NA,NA,,NA,NA,NA,,NA,,45496184,77833384
0,5,10,,2,4,5,Nonflat,NA,Indurated,45496201,77833443
3,8,12,,5,40,75,Nonflat,NA,Indurated,45496201,77833444
9,16,23,,75,162,250,Nonflat,NA,Indurated,45496201,77833445
0,2,3,,250,625,1000,Nonflat,NA,Indurated,45496201,77833446
0,12,23,,2,4,5,Nonflat,NA,Indurated,45496203,77833447
2,14,25,,5,40,75,Nonflat,NA,Indurated,45496203,77833448
11,23,34,,75,162,250,Nonflat,NA,Indurated,45496203,77833449
