aashtocl,rvindicator,chkey,chaashtokey
A-1,Yes,45496392,74366489
A-1,Yes,45496394,74366490
A-1-b,Yes,45496401,74366496
A-2-4,No ,45496401,74366497
A-1-a,Yes,45496410,74366509
A-1,Yes,45496442,74366538
A-8,Yes,45496444,74366540
A-1-a,Yes,45496449,74366545
A-1-b,Yes,45496451,74366547
A-2,No ,45496451,74366548
A-1,No ,45496453,74366552
A-2,No ,45496453,74366553
A-4,No ,45496453,74366554
A-2-4,Yes,45496453,74366555
A-8,Yes,45496501,74366631
A-2,Yes,45496503,74366633
A-2,Yes,45496508,74366638
A-2,Yes,45496517,74366645
A-1-a,Yes,45496519,74366647
A-1,Yes,45496533,74366658
A-1,Yes,45496535,74366660
A-1,Yes,45496585,74366734
A-2,Yes,45496617,74366783
A-2,Yes,45496619,74366785
A-8,Yes,45496628,74366793
A-2,Yes,45496635,74366799
A-2,No ,45496667,74366836
A-1-b,Yes,45496667,74366837
A-1,Yes,45496669,74366839
A-2,No ,45496703,74366867
A-1-b,Yes,45496703,74366868
A-8,Yes,45496708,74366875
A-1,Yes,45496710,74366878
A-1,Yes,45496712,74366880
A-1-a,Yes,45496717,74366884
A-2,No ,45496719,74366885
A-1-b,Yes,45496719,74366886
A-2,Yes,45496726,74366892
A-7,Yes,45496744,74366902
A-2,Yes,45496727,74366893
A-7,Yes,45496734,74366897
A-6,Yes,45496743,74366901
A-1-b,Yes,45496809,74366986
A-2,No ,45496809,74366987
A-2,No ,45496818,74366993
A-1-b,Yes,45496818,74366994
A-8,Yes,45496721,74366888
A-2,Yes,45496722,74366889
A-2,Yes,45496724,74366890
A-4,Yes,45496739,74366898
A-1-b,Yes,45496740,74366899
A-2-4,No ,45496740,74366900
A-8,Yes,45496808,74366985
A-1,Yes,45496814,74366990
A-1,Yes,45496815,74366991
A-1-a,Yes,45496810,74366988
A-1,Yes,45496812,74366989
A-8,Yes,45496817,74366992
A-1-a,Yes,45496819,74366995
